"package_name","categories","is_essential","website_url","repo_url","date_added","notes"
"metrica","stats",FALSE,"https://adriancorrendo.github.io/metrica/","https://github.com/adriancorrendo/metrica/","1900-01-01",""
"mlr3viz","stats",FALSE,"https://mlr3viz.mlr-org.com/","https://github.com/mlr-org/mlr3viz/","1900-01-01",""
"monochromeR","scales_and_guides",FALSE,NA,"https://github.com/cararthompson/monochromeR/","1900-01-01",""
"multipanelfigure","arranging_plots",FALSE,NA,NA,"1900-01-01",""
"munsell","scales_and_guides",FALSE,NA,"https://github.com/cwickham/munsell/","1900-01-01",""
"mxmaps","maps",FALSE,"https://www.diegovalle.net/mxmaps/","https://github.com/diegovalle/mxmaps/","1900-01-01",""
"naniar","data",FALSE,"https://naniar.njtierney.com/","https://github.com/njtierney/naniar/","1900-01-01",""
"nflplotR","sports",FALSE,"https://nflplotr.nflverse.com/","https://github.com/nflverse/nflplotR/","1900-01-01",""
"nord","scales_and_guides",FALSE,NA,NA,"1900-01-01",""
"oblicubes","geoms",FALSE,"https://trevorldavis.com/R/oblicubes/","https://github.com/trevorld/oblicubes/","1900-01-01",""
"ordr","stats",FALSE,"https://corybrunson.github.io/ordr/","https://github.com/corybrunson/ordr/","1900-01-01",""
"oz","maps",FALSE,NA,NA,"1900-01-01",""
"ozmaps","maps",FALSE,"https://mdsumner.github.io/ozmaps/","https://github.com/mdsumner/ozmaps/","1900-01-01",""
"paletteer","scales_and_guides",FALSE,"https://emilhvitfeldt.github.io/paletteer/","https://github.com/EmilHvitfeldt/paletteer/","1900-01-01",""
"patchwork","arranging_plots",FALSE,"https://patchwork.data-imaginist.com/","https://github.com/thomasp85/patchwork/","1900-01-01",""
"patternplot","geoms",FALSE,NA,NA,"1900-01-01",""
"peRReo","scales_and_guides",FALSE,NA,"https://github.com/jbgb13/peRReo/","1900-01-01",""
